pmid	lane_before_llm	gate_reason	model_p	final_decision	final_reason	topic_relevance	sem_intent	sem_seed	graph_ppr_pct	graph_links_frac	year_scaled	abstract_len_bin	pub_types	year	title	abstract
40818798	sent_to_llm		1.0000	include	off_topic	primary_rct	0.6394	0.6394	0.0	0.0000	1.0000	normal	Journal Article	2025	Effects of gabapentin following minimally invasive repair of pectus excavatum with intercostal nerve cryoablation (MIRPE-INC).	Gabapentin is used for treating postoperative pain and preventing neuropathic pain. We aimed to examine the effects of gabapentin on opioid use and neuropathic pain following minimally invasive repair of pectus excavatum with intercostal nerve cryoablation (MIRPE-INC). A prospective comparison study was conducted among patients ≤21 years old undergoing MIRPE-ICN. Patients were grouped based on perioperative gabapentin use (gabapentin beginning 2 weeks prior to MIRPE-INC from March 2021 to December 2022 and no-gabapentin cohorts from June 2023 to June 2024). Participants underwent chest wall sensory examination and neuropathic pain screening (S-LANSS) pre-MIRPE and post-MIRPE (postoperative day 1 (POD1), 2 weeks, 2 months). S-LANSS score ≥12 was suggestive of neuropathic pain. Additionally, inpatient opioid use, inpatient pain scores, and length of stay (LOS) were recorded. Outcomes were compared between cohorts. Of the 112 patients enrolled, 39 received perioperative gabapentin and 73 did not. Age, Haller index, correction index, and BMI were similar between cohorts. The gabapentin cohort was less likely to have neuropathic pain symptoms (S-LANNS ≥12) on POD1 (11.4 % vs 31.9 %, p = 0.023). At 2 weeks and 2 months postoperatively, the frequency of s-LANSS scores ≥12 was similar between treatment groups, as was the incidence of hyperesthesia on chest wall sensory examination. Total inpatient oral morphine equivalents were similar between cohorts. Perioperative gabapentin use was associated with a decreased incidence of neuropathic pain symptoms immediately post-MIRPE-INC but did not decrease perioperative opioid use or LOS. Gabapentin did not decrease neuropathic pain symptoms outside the immediate perioperative period. Level 2.
40803414	sent_to_llm		1.0000	borderline	insufficient_info	primary_rct	0.7388	0.7388	0.0	0.0000	1.0000	normal	Journal Article	2025	Feeling the difference: Long-term sensory outcomes following the minimally invasive repair of pectus excavatum with and without intercostal nerve cryoablation: A multicenter prospective observation study.	Intercostal nerve cryoablation (INC) during the minimally invasive repair of pectus excavatum (MIRPE) provides effective post-operative analgesia; long-term neurosensory effects of MIRPE/INC remain unclear. The study aimed to compare chest wall sensation at pectus-bar removal in patients who previously had MIRPE with and without INC. We conducted a multi-institutional prospective study of patients ≤21 who underwent MIRPE with and without INC between 1/11/2021-8/18/2024. Chest wall sensory testing was performed pre-bar removal, and at 2 weeks and 2 months post-bar removal. Demographics and operative details of MIRPE were reviewed. Chest wall hypoesthesia to stimulation were compared between groups. 166 participants were enrolled (male - 86 %, mean age - 18.3 ± 1.7 years at bar removal, median duration of bar implantation - 3.0 [IQR:2.9-3.1] years) INC was performed in 78 % (n = 130) during MIRPE. Compared to no-INC, INC patients were more likely to have >1 pectus bar (82 % vs 47 %, p < 0.001) and pericostal suture fixation (85 % vs 44 %, p = 0.004). Prior to bar removal, chest wall hypoesthesia in ≥1 dermatome was found in 58 % of INC vs 50 % of no-INC (p = 0.451). At two month follow up 85 % of patients had normal chest wall sensation (85 % INC vs 95 % no-INC, p = 0.460). Hypoesthesia was associated with >1 pectus bar implanted. Three years following MIRPE, hypoesthesia to 1-2 dermatomes in the region of the pectus bar(s) is present in nearly half of patients and is not associated with intercostal nerve cryoablation. Following bar removal, chest wall sensation is normal in approximately 80 % of all patients.
40720602	sent_to_llm		1.0000	include	off_topic	primary_rct	0.8192	0.8192	0.0	0.0000	1.0000	normal	Journal Article	2025	Intercostal Nerve Cryoablation During Pectus Excavatum Surgery for Postoperative Pain Management: A Systematic Review and Meta-Analysis.	The objective of this study was to systematically review the literature-reported outcomes of CRYO compared to standard of care without CRYO (non-CRYO) after PEx repair. Surgical repair of pectus excavatum (PEx) via the Nuss or Ravitch procedures is associated with substantial postoperative pain. Intercostal nerve cryoablation (CRYO) performed during the primary surgical repair has been adopted as a non-opioid modality for pain management. A literature search was conducted in PubMed, Embase, and using additional online approaches to identify comparative studies of patients undergoing the Nuss or Ravitch procedure for PEx repair with CRYO versus non-CRYO between years 2014-24. Meta-analysis was performed to quantitatively evaluate primary outcomes of hospital length of stay (LOS) and opioid consumption. Secondary outcomes were hospital costs and complications, summarized qualitatively. Of 178 studies, 32 comparative studies encompassing 13,103 patients were included; 28% (n=3,620) received CRYO. Random effects meta-analyses demonstrated a significantly shortened LOS by 1.8 days (95% confidence interval [CI]: -2.12, -1.42) and a significant reduction in inpatient and outpatient opioid consumption with CRYO by 186 morphine mg equivalents (MME) (95% CI: -262.26, -109.08) and 147 MME (95% CI: -255.72, -38.26), respectively. Complications with CRYO were either decreased or similar between groups and resolved over time. Hospital costs were similar. This systematic review suggests CRYO during PEx repair is associated with a significantly shorter hospital LOS, as well as decreased opioid consumption both in the hospital and after discharge. Complications were infrequent and time-limited.
40122203	sent_to_llm		1.0000	include	off_topic	adjacent_meta_analysis	0.6779	0.6779	0.0	0.0000	1.0000	normal	Journal Article;Systematic Review;Network Meta-Analysis	2025	Postoperative Pain Management After Minimally Invasive Repair of Pectus Excavatum: A Systematic Review and Network Meta-analysis.	Minimally invasive repair of pectus excavatum is the accepted standard approach for correction of pectus excavatum. This procedure is associated with significant postoperative pain, which is the dominant factor determining the duration of hospitalization. To date, a multitude of analgesic modalities are used, however, the most effective is to be corroborated. The aim of this study is to systematically evaluate and compare all available analgesic modalities for pain management after minimally invasive repair of pectus excavatum through a network meta-analysis. Electronic scientific databases were systematically searched. Articles were eligible for inclusion when designed as a comparative study evaluating perioperative pain management techniques for patients undergoing minimally invasive repair of pectus excavatum and where length of hospitalization was reported as an outcome. Data concerning length of hospitalization were extracted and submitted for network meta-analysis. Thirty-nine studies were included, enrolling 4241 patients. Through a network meta-analysis intercostal nerve cryoablation with an adjunct analgesic intervention (e.g., intercostal nerve block or patient controlled analgesia) showed a statistically significant reduction in the length of hospitalization ranging from 0.9 days (95 % confidence interval (CI): -1.7 to -0.1) when compared to locoregional blocks with an adjunct analgesic intervention to 2.5 days (95 % CI: -3.7 to -1.3) when compared to thoracic epidural analgesia. Regarding postoperative pain management after minimally invasive repair of pectus excavatum, intercostal nerve cryoablation with adjunct analgesic intervention is more effective in terms of length of hospitalization compared to other forms of analgesia. Systemic review and meta analysis.
39965427	sent_to_llm		1.0000	include	off_topic	primary_rct	0.8155	0.8155	0.0	0.0000	1.0000	normal	Journal Article;Comparative Study	2025	Nationwide Comparison of Epidural and Regional Analgesia Versus Intercostal Nerve Cryoablation in Pectus Repair.	Pectus excavatum is the most common congenital chest wall deformity, occurring in 1 in 250-300 live births. Surgical correction of this pathology is traditionally associated with significant pain. We hypothesize intercostal nerve cryoablation is a superior analgesic modality that can improve patient comfort, improve healthcare resource utilization, and reduce opioid exposure in a high-risk population. The most recently published National Readmissions Database (2016-2020) was queried for patient aged 12-21 years old who underwent Nuss Procedure for pectus excavatum. Patient demographics, hospital factors, and patient outcomes including hospital length of stay, opioid-related complications, readmission, post-operative acute pain, respiratory complications, post-operative bleeding, chest tube insertion, pleural effusion, pneumothorax, and hospital costs were analyzed. 818 patients were analyzed in this study. 62 % received epidural/regional analgesia and 38 % received intercostal nerve cryoablation. The mean age in the cohort was 16 ± 2 years old. 86 % of the study cohort was male. Intercostal nerve cryoablation was associated with significantly reduced opioid-related complications (4.3 % vs 8.7 %, p = 0.015), hospital length of stay (2 [2-3] vs 4 [3-5] days, p < 0.001), and respiratory failure when compared to epidural analgesia. Intercostal nerve cryoablation was associated with an increased index hospitalization cost when compared to epidural/regional analgesia ($17,656 [15,103-23,346] vs. $15,669 [12,676-20,177], p < 0.001). Intercostal nerve cryoablation for pectus excavatum repair is a safe analgesic modality that is associated with superior pain control while reducing opioid-related complications, respiratory failure, and hospital length of stay. Retrospective Comparative. III.
39874933	sent_to_llm		1.0000	include	off_topic	primary_rct	0.4914	0.4914	0.0	0.0000	1.0000	normal	Journal Article	2025	Outpatient Opioid Monitoring and Reclamation Following Minimally Invasive Repair of Pectus Excavatum.	To decrease diversion of unused opioids following the minimally invasive repair of pectus excavatum (MIRPE), we developed an opioid education monitoring and reclamation program. The aim was to evaluate outpatient opioid use and disposal following MIRPE. A retrospective review was conducted at a single center among patients <19 ys who underwent MIRPE with intercostal nerve cryoablation. Demographic and clinical data, including outpatient opioid prescriptions, were reviewed. Patients or families were educated on the risk of opioids and encouraged to bring unused opioid to the first postoperative visit for disposal. Questionnaires were administered on opioid use and disposal plan. A total of 72 patients participated in the program: 83.3% (60/72) were male, and the mean age was 15.2 ± 1.6 ys old. A median of 10 tablets per patient were prescribed, with a total of 790 five-mg oxycodone tablets prescribed. Prior to the first postoperative visit, 20.8% (15/72) of patients required an opioid refill. Patients reported using a median of 5 [IQR: 1.6 - 10], five-mg oxycodone tablets for a median of 5 [IQR: 2 - 6.7] ds: 92% (65/72) had unused opioids totaling 420 tablets. Of patients with unused opioid, 50.8% (33/65) reported a plan for opioid disposal, 30.8% (20/65) reported a plan to keep unused opioids, and 28.5% (12/65) did not disclose a plan of disposal. Despite conservative opioid prescribing, 53% of outpatient opioids go unused following MIRPE. After education on opioid risks and providing a convenient means for safe opioid disposal, half of the patients or families intended to dispose of unused opioids.
39823003	sent_to_llm		1.0000	borderline	off_topic	adjacent_review	0.5997	0.5997	0.0	0.0000	0.9000	normal	Journal Article;Review	2024	Pain management after pediatric minimally invasive repair of pectus excavatum: a narrative review.	Pectus excavatum is a common congenital chest wall abnormality characterized by a concave appearance of the chest, and minimally invasive repair of pectus excavatum (MIRPE) is the surgical treatment of choice. A rapidly growing field of research is pain management in children undergoing MIRPE, with many shifts in practice occurring over the last decade. The primary objectives of this narrative review are to describe current methods of perioperative pain management and the development of enhanced recovery after surgery (ERAS) to improve the experience of patients undergoing MIRPE. Recent literature was found using the PubMed database using combinations of keywords: pectus excavatum, pediatric, pain management, minimally invasive repair of pectus excavatum (MIRPE), and enhanced recovery after surgery (ERAS). Literature search was conducted by the authorship team and an independent, certified librarian. Articles published in English from 2010-2024 were the focus of our review; however, older literature was included when appropriate. Perioperative pain management for patients undergoing MIRPE continues to evolve and improve patient outcomes. While evidence supports the use of more traditional analgesia, such as opioid-based or epidural analgesia, it also supports the trend toward contemporary multimodal pain control via pre-, intra-, and post-operative strategies including opioid-sparing analgesics, intercostal nerve cryoablation (INC), intercostal nerve blocks (INBs), and single or continuous infusion regional anesthesia techniques. Patients undergoing surgical repair of pectus excavatum benefit from the use of contemporary pain control techniques discussed in this review, with a growing body of literature supporting the use of INC, regional pain blocks and multimodal analgesia. Additionally, ERAS pathways and institutional protocols are discussed that are currently transforming postoperative MIRPE pain management and are being implemented widely.
39701138	sent_to_llm		1.0000	include	off_topic	primary_rct	0.8060	0.8060	0.0	0.0000	0.9000	normal	Journal Article;Observational Study;Comparative Study	2024	Intercostal Nerve Cryoablation as an Effective Pain Management Strategy in the Nuss Procedure: Reducing Opioid Use and Hospital Stay.	Erector spinae plane (ESP) blocks, thoracic epidural, and patient-controlled analgesia (PCA) have all been used for perioperative pain management in the Nuss procedure without a consensus on what modality produces the best outcomes. Intercostal nerve cryoablation (INC) is a relatively new modality that involves freezing the nerves to prevent pain during recovery. Our hypothesis is that using INC for the Nuss procedure will decrease opioid use, pain scores, and length of stay (LOS) but will increase cost compared with ESP block, thoracic epidural, and PCA. This retrospective, observational study compared 108 patients who underwent the Nuss procedure at a pediatric acute care children's hospital in the southeast US. Patient charts were evaluated for significant differences in LOS, opioid use, and reported pain ratings based on type of analgesia administered: INC (n = 30), ESP block (n = 19), thoracic epidural (n = 41), and PCA (n = 18). Secondary variables included emergency department visits, readmissions, opioid refills, and various anesthetic and operative costs. Analysis of variance was performed on all outcome measures. Average LOS was significantly decreased in the INC group (2.9 days) compared with the thoracic epidural (4.7 days, p < 0.05) and the PCA groups (3.7 days, p < 0.05). Average cumulative opioid use was significantly decreased in the INC group (50.4 morphine milligram equivalents [MME]) compared with the thoracic epidural (117 MME, p < 0.05) and PCA groups (172.1 MME, p < 0.05). This study suggests that INC can be a viable and cost-effective option for reducing postoperative opioid consumption and LOS in Nuss procedure patients. Pain perception was lower in the INC group compared with the rest of the groups, except the epidurals, which were similar. However, the opioid consumption of the INC group was significantly lower than any other group. Despite the INC group having higher initial costs, it did not result in the highest total hospital charges, indicating its potential cost-effectiveness. There is a need for larger prospective randomized controlled trials to guide future research efforts.
39561666	sent_to_llm		1.0000	include	off_topic	primary_rct	0.7812	0.7812	0.0	0.0000	0.9000	normal	Journal Article	2024	Intercostal Nerve Cryoablation in Minimally Invasive Repair of Pectus Excavatum: National Trends, Outcomes, and Predictors of Utilization.	Intercostal nerve cryoablation during minimally invasive repair of pectus excavatum (MIRPE) is an effective pain control technique. Some insurers may not reimburse for cryoablation in this context, contending that it's an experimental procedure. This study aimed to describe national trends in cryoablation use and evaluate outcomes and predictors of its use. The Pediatric Health Information System database was queried for pectus excavatum patients aged 9-21 who underwent MIRPE between 2016 and 2023. Concurrent cryoablation use was identified using billing/supply codes. Temporal trends in cryoablation utilization were described and quantified using linear regression. Demographics, resource utilization, and outcomes were compared for patients based on cryoablation utilization using chi-square and Kruskal-Wallis tests. Predictors of cryoablation use were evaluated with logistic regression. This analysis included 2068 patients (mean age 15 ± 1.8 years; 86 % male). Cryoablation utilization increased from 33 % to 61 % from 2016 to 2023, with a strong positive trend (R2 = 0.73). Cryoablation patients had fewer surgical complications (8 % vs 12 %, p = 0.004), shorter LOS (2.0 ± 1.3 vs. 2.8 ± 1.6 days, p < 0.001), fewer total mean opiate days billed (1.4 ± 1.1 vs. 1.6 ± 1.4 days, p < 0.0001) and higher total costs ($24,045 ± $9696 vs. $20,751 ± $9,237, p < 0.001). High-volume centers (odds ratio (OR) 1.9, 95 % confidence interval (CI) 1.2-3.0) and commercial HMO insurance (OR 2.7, 95 % CI 1.9-3.8) were predictors of cryoablation use. Cryoablation during MIRPE has increased nationally since 2016; now being performed in nearly two-thirds of all cases. Cryoablation should be considered a standard adjunct to MIRPE rather than an experimental technique.
39363012	sent_to_llm		1.0000	include	off_topic	primary_rct	0.7324	0.7324	0.0	0.0000	0.9000	normal	Journal Article	2024	Effect of cryoablation in Nuss bar placement on opioid utilization and length of stay.	Our institution recently transitioned from paravertebral nerve blocks (PVBs) to intercostal nerve cryoablation (INC) for pain control following minimally invasive repair of pectus excavatum (MIRPE). This study aimed to determine how INC affected the operative time, length of stay, complication rates, inpatient opioid use, and outpatient prescription of opioids at a single center. A retrospective review was performed at a single pediatric referral center of all patients who underwent MIRPE between 2018 and 2023. Patient demographics, operative details, and perioperative course were collected. The use of INC versus PVB was recorded. Univariate analyses were performed using Wilcoxon rank sum tests for continuous variables and chi-squared tests for categorical variables. 255 patients were included with a median age of 15 years, median BMI of 18.50 kg/m2, and median Haller index of 4.40. INC was utilized in 41% (105/255), and 59% (150/255) received PVB. The two groups did not differ significantly in BMI, Haller index, or complications, though the INC patients were older by 1 year (15.0 vs. 16.0, p = 0.034). INC was associated with an increased operative time (INC: 92 min vs. PVB: 67 min, p < 0.001), decreased length of stay (3 vs. 4 days, p =  < 0.001), more than twofold decrease in inpatient opioids per day (INC: 16 MME vs. PVB: 41 MME, p < 0.001), and a fourfold decrease in the amount of opioids prescribed at discharge (INC: 90 MME vs. PVB: 390 MME, p < 0.001). INC after MIRPE significantly decreased both the inpatient opioid utilization and our outpatient prescribing practices while also decreasing our overall length of stay without increasing complications. Level III.
